activity,name,title,issue,introduction
致詞,楊泮池,,,
致詞,郭大維,,,
開場演說,李吉仁,,,
開場演說,張善政,"前行政院院長
台哥大基金會董事長",【新時代、新挑戰、新契機】,"國立台灣大學土木工程系畢業、美國史丹福大學土木工程碩士、美國康乃爾大學土木工程博士。曾任中華民國行政院院長、行政院副院長、科技部部長、行政院政務委員、美商Google公司亞洲硬體營運總監、宏碁股份有限公司電子化事業群副總經理以及國立臺灣大學土木工程學系教授。現任財團法人台灣大哥大基金會董事長、智網聯盟總會長、社團法人國家生技醫療產業策進會會長、東吳大學巨量資料管理學院榮譽院長、東吳大學巨量資料管理學院榮譽院長以及國立交通大學亥客書院院長暨講座教授。(改寫自張董事長提供之個人資訊)

美國康乃爾大學土木工程博士，曾先後擔任台灣大學土木工程學系教授、國科會國家高速電腦中心主任、國科會企劃考核處處長、宏碁電子化事業群副總經理及Google亞洲營運­總監，2012年初任行政院政務委員。

張善政自2000年起，長達十年的時間於宏碁電子化事業群擔任副總經理一職，致力於建造宏碁 eDC機房，並提供機房與資安服務。自2010年起出任Google亞洲營運總監，負責建立Google在亞洲區的機房與基礎建設維運，對台灣的雲端產業貢獻良多。

2012年行政院內閣改組，張善政為首位來自資訊科技產業的政務委員，主掌國家科技產業政策規劃與資源分配，未來將朝改善ICT產業體質，並讓其他產業善用IT工具，以達­到產業升級的目標。(改寫自TED)"
開場演說,廖如圭/Roger Liao,台灣創新加速中心執行長,【台灣創新創業的挑戰，矽谷創投趨勢和台灣的機會】,"台灣創新加速中心執行長
舊金山 Founders Space育成中心和加速器評審
交大產學運籌中心創新創業 Startup Lab 國際業師和評審
行政院青創基地顧問
教育部新型態產學研價創計劃評審和業師


台大電機系畢, 紐約 Rensselaer Polytechnic Institute (RPI) 電腦工程碩士。 具有美國多年產業經驗, 集工程師/經理, 創業, 創投於一身。在宏碁創投和智融美洲創投服務期間, 有投資10人初創公司 NASDAQ 上市經驗, 股價有現超過118倍的紀錄 (2017.3.20)。 

除投資外，專長於幫公司調整體質, 規劃有國際競爭力產品, 提高公司整體價值, 降低創業風險, 由 idea 到退出 (IPO or M&A) 之輔導。"
開場演說,黃耀文/Wayne Huang,"阿碼科技創辦人 
現任Proofpoint 技術副總",【創業家精神：面對挑戰，解決真實的問題】,"阿碼科技創辦人，現任Proofpoint 技術副總
國際級資安專家，曾多次應邀 RSA、OWASP、SyScan、WWW、PHP 及 DSN 等全球知名科技年會發表演講，並為首位學術論文連續兩年榮獲極富盛名的國際 WWW 年會最佳論文獎提名作者。合著有《21世紀之電腦安全》之〈網路應用程式安全〉（Springer US, 2005）。
曾任中央研究院資通安全專題中心（TWISC）資深顧問，及資訊科學研究所研究工程師。具國立交通大學資訊工程碩士學位、國立臺灣大學電機工程博士學位。
2005年創辦阿碼科技，獲得美國那斯達克上市公司Proofpoint用7.5億新台幣收購，創下近十年來台灣軟體商被收購的最高金額，成功打造一家躍上國際舞台的資安軟體公司。"
智慧生活論壇,簡立峰,Google台灣董事總經理,【智慧生活的Next Big Things】,"簡立峰博士為Google 台灣董事總經理，負責指導Google 台灣暨香港工程研究
所、協助督導Google 北京的研發專案，以及Google 在台所有經營管理及發展規
劃。簡博士為國際知名資訊檢索與中文資訊處理專家，多年來從事中文剖析系統、
語言模型、聽寫機以及搜尋引擎技術發展。"
智慧生活論壇,游直翰/Chih-Han Yu,Appier 執行長暨共同創辦人,待確認,"Appier創辦人游直翰畢業於臺灣大學資工系，並於史丹佛大學人工智慧實驗室取得碩士學位以及哈 佛大學電腦科學博士學位。曾撰寫過數十篇與人工智慧、機器人和機器學習領域相關的研究文章，並獲得兩項美國專利。他曾於哈佛大學及哈佛醫學院Wyss研究院擔任研究員，研發具自我調適功能的機器人，幫助小兒麻痺症病患行走，其博士論文曾被提名為當年度Multi-agent AI領域中的最佳論文。

就學期間亦曾參與美國無人駕駛自動車競 賽(DARPA Grand Challenge)，並與後來的Google無人車之父Sebastian Thrun合作無 人車研究計畫。 並曾獲得世界經濟論壇公布的2016「全球青年領袖」，是唯一獲得殊榮的台灣人，也讓Appier成為亞洲唯一上榜的人工智慧公司。"
智慧生活論壇,林宜儒 / Lawrence Lin,"KumaWash、iCook 愛料理及 
Inside 硬塞的網路趨勢觀察創辦人",待確認,"KumaWash 創辦人，亦為 iCook 愛料理及 Inside 硬塞的網路趨勢觀察的創辦人。
其致力於將資訊技術、當代管理思維運用於不同生活領域的創新，打造出獨樹一格的服務，使人們生活變得更美好便利。工作以外的時間，是個熱血的單車騎士、攝影愛好者。"
健康樂活論壇,陳亮恭/Liang-Kung Chen,臺北榮民總醫院高齡醫學中⼼主任,【人口高齡化的新契機：銀光經濟】,臺北榮民總醫院高齡醫學中心主任、國立陽明大學高齡與健康研究中心主任、醫學系家庭醫學科教授。 在高齡醫學的領域裡，陳亮恭醫師長期關切醫學發展，費心為每個人將來都會面臨的老化問題，尋找更妥切的照料方式與研究；在醫院的診間裡，他是能傾聽老人家心裡需求的醫師。(改寫自陳主任提供之個人資料)
